id,word,severity
7,Ahmoq,55
130,Am,1
208,Befarosat,1
170,Cho'choq,1
196,Dalban,1
3,Dalbayob,1
238,Dalbayop,1
127,Dnx,1
6,Dovdir,1
272,Foxisha,1
63,Fuck,1
152,Fuck you,1
209,Gandon,1
29,Haromi,1
197,Hunasa,1
191,Iflos,1
192,Iplos,1
39,Isqirt,1
1,Jalab,1
214,Jalla,1
151,Jallap,1
56,Jinni,1
205,Jipiriq,1
195,Kot,1
65,Kotinga,1
194,Koʻt,1
129,Lox,1
190,Manjalaqi,1
271,Maraz,1
207,Mol miyya,1
212,Om,1
5,Pidaraz,1
295,Pidr,1
156,Pipez,1
213,Pizdes,1
115,Poxuy,1
114,Poxxuy,1
154,Pzds,1
155,Pzdss,1
269,Qanchiq,1
270,Qanciq,1
189,Qanjiq,1
211,Qetoq,1
172,Qotaqxor,1
257,Qoto,1
169,Qotoq,1
25,Qotoqbosh,1
210,Qo’toq,1
302,Sen qishloqlisan,1
216,Sik,1
215,Sikaman,1
113,Sikdim,1
153,Ske,1
297,Suchka,1
4,Suka,1
218,Tashoq,1
217,Tashshoq,1
219,Tashshoq sho’rva,1
176,Tente,1
64,Xaromi,1
143,Ya yebal tebya,1
233,Yban,1
198,Ybat,1
15,Yeban,1
62,Yebanutiy,1
2,Yiban,1
183,Zaybal,1
78,ahmoq,1
142,ahuel,1
22,am,1
223,amcha,1
108,aminga,1
236,basharenga qotogm,1
93,bitch,1
99,ble,1
53,blet,1
261,bo'qidish,1
262,bo'qkalla,1
244,boq,1
279,chmo,1
280,chumo,1
305,dabba,1
107,dalbayob,1
278,daun,1
84,dinnaxuy,1
110,fuck,1
111,fucking,1
160,gandon,1
167,gay,1
166,gey,1
161,gnida,1
227,haromi,1
203,hunasa,1
260,itbet,1
95,jala,1
98,jala ble,1
303,jalaaap,1
76,jalab,1
158,jalap,1
88,jalla,1
89,jallap,1
33,ko't,1
26,kot,1
306,nedagon,1
199,nigga,1
83,nigger,1
23,om,1
96,onangni,1
184,oom,1
12,p1zdes,1
75,pidaras,1
74,pidaraz,1
97,pidr,1
86,pizda,1
11,pizdes,1
92,qanjiq,1
85,qo'toq,1
28,qo'toqbosh,1
116,qotaq,1
234,qoto,1
72,qotoq,1
282,qutoq,1
31,seks,1
71,seksi baby,1
13,sex,1
109,sikay,1
134,sike,1
18,sikish,1
20,siktim,1
17,sikvoti,1
73,skay,1
21,ske,1
159,skey,1
106,suchka,1
90,suka,1
119,sukka,1
87,tashsho,1
32,tupoy,1
162,tvar,1
163,tvariddin,1
137,wtf,1
27,xaromi,1
140,xuyeplet,1
139,xuyesos,1
141,xuyila,1
19,yban,1
281,yeban,1
148,yebanashka,1
287,yebat,1
91,yebbat,1
145,yebnu,1
144,yebu,1
14,yetim,1
94,yetm,1
277,yiban,1
283,yibanat,1
